[0.9993081092834473, -0.03719276189804077, 0.9934924244880676, -0.11389832943677902, -0.5430113077163696, 0.650858998298645];[0.9904798865318298, -0.13765738904476166, 0.9998636245727539, 0.016513057053089142, -0.4415525197982788, 0.6174249649047852];1
[0.9904798865318298, -0.13765738904476166, 0.9998636245727539, 0.016513057053089142, -0.4415525197982788, 0.6174249649047852];[0.9790653586387634, -0.2035462111234665, 0.9929839968681335, 0.11824861168861389, -0.2110803872346878, 0.3757421374320984];1
[0.9790653586387634, -0.2035462111234665, 0.9929839968681335, 0.11824861168861389, -0.2110803872346878, 0.3757421374320984];[0.9790725111961365, -0.20351168513298035, 0.9922094345092773, 0.12458084523677826, 0.21106766164302826, -0.3120611608028412];0
[0.9790725111961365, -0.20351168513298035, 0.9922094345092773, 0.12458084523677826, 0.21106766164302826, -0.3120611608028412];[0.9905150532722473, -0.137404203414917, 0.9994053840637207, 0.03448081389069557, 0.4435673952102661, -0.566321849822998];1
[0.9905150532722473, -0.137404203414917, 0.9994053840637207, 0.03448081389069557, 0.4435673952102661, -0.566321849822998];[0.9993453621864319, -0.036178313195705414, 0.996116578578949, -0.08804406970739365, 0.5484715700149536, -0.6228227019309998];1
[0.9993453621864319, -0.036178313195705414, 0.996116578578949, -0.08804406970739365, 0.5484715700149536, -0.6228227019309998];[0.9964669942855835, 0.08398517221212387, 0.9730146527290344, -0.2307433933019638, 0.6250778436660767, -0.7794217467308044];0
[0.9964669942855835, 0.08398517221212387, 0.9730146527290344, -0.2307433933019638, 0.6250778436660767, -0.7794217467308044];[0.9846240878105164, 0.1746867150068283, 0.9511529803276062, -0.3087199926376343, 0.270199716091156, -0.006260670721530914];2
[0.9846240878105164, 0.1746867150068283, 0.9511529803276062, -0.3087199926376343, 0.270199716091156, -0.006260670721530914];[0.9824652075767517, 0.18644604086875916, 0.9732106328010559, -0.22991526126861572, -0.15111064910888672, 0.8135764002799988];2
[0.9824652075767517, 0.18644604086875916, 0.9732106328010559, -0.22991526126861572, -0.15111064910888672, 0.8135764002799988];[0.9929129481315613, 0.11884402483701706, 0.9999999403953552, -0.0003794538788497448, -0.5114761590957642, 1.4518392086029053];2
[0.9929129481315613, 0.11884402483701706, 0.9999999403953552, -0.0003794538788497448, -0.5114761590957642, 1.4518392086029053];[0.9999911189079285, -0.004212202969938517, 0.9490148425102234, 0.31523144245147705, -0.6842483282089233, 1.6794155836105347];2
